#{"t_start": 1701801092.0889983, "env_id": "None"}
r,l,t
-14003.5,4001,164.959727
-14003.5,4001,231.926979
-14003.5,4001,300.451197
-14003.5,4001,373.816439
-14003.5,4001,446.726668
-14003.5,4001,524.897019
-38009.5,4001,599.749858
-38009.5,4001,671.474271
-32648.362744,4001,740.195491
-38009.5,4001,812.674184
-18621.548852,4001,893.103368
-38009.5,4001,964.844532
-38009.5,4001,1038.338701
-38009.5,4001,1114.827923
-33259.565414,4001,1192.328102
-25322.95269,4001,1269.324831
-17403.001041,4001,1347.572666
-14535.052206,4001,1428.991299
-14003.5,4001,1514.020494
-14003.5,4001,1599.135689
-14003.498449,4001,1685.271888
-14291.212007,4001,1769.651079
-14439.934508,4001,1853.906222
-13913.527596,4001,1938.297368
-13621.821759,4001,2022.685512
-12923.552135,4001,2106.605655
-13742.703601,4001,2191.025798
-12582.81195,4001,2275.401942
-10374.35821,4001,2357.685079
-10983.064247,4001,2439.468222
-12818.700274,4001,2521.217358
-11688.29143,4001,2603.765547
-9637.70266,4001,2685.658685
-9097.515089,4001,2767.62183
-7814.590172,4001,2850.283935
-7535.148564,4001,2932.498038
-7541.459939,4001,3014.435133
-6930.279095,4001,3096.491233
-6976.103208,4001,3183.501339
-7670.77621,4001,3269.185458
-6934.332656,4001,3354.580562
-6833.563801,4001,3440.392665
-5400.633735,4001,3527.776771
-2162.874492,4001,3615.414874
-1101.950735,4001,3703.807981
-2071.19461,4001,3792.131088
-1101.088259,4001,3880.182167
-940.755167,4001,3968.582235
-908.761463,4001,4057.619309
-743.217876,4001,4146.109391
-1687.499618,4001,4234.62045
-1633.247112,4001,4322.995522
-665.728198,4001,4408.742661
-773.181695,4001,4493.800732
-1714.799948,4001,4578.660798
-1779.107529,4001,4662.977865
-1785.792162,4001,4748.104935
-1787.608472,4001,4832.577001
-922.896904,4001,4917.754055
-879.686283,4001,5001.348021
-901.396814,4001,5085.129071
-1912.409121,4001,5172.584125
-1022.393658,4001,5261.823177
-920.071801,4001,5350.852231
-938.544024,4001,5440.509287
-1859.337136,4001,5529.005343
-1887.01089,4001,5614.540097
-1796.953524,4001,5700.530034
-1936.622736,4001,5786.50604
-1875.096318,4001,5872.887092
-1047.118824,4001,5959.069068
-1820.04607,4001,6044.828103
-1833.129681,4001,6129.735136
-1820.202061,4001,6214.037697
-1801.8,4001,6297.878572
-1839.716047,4001,6382.105605
-1814.144536,4001,6465.592639
-977.379636,4001,6549.601673
-973.21366,4001,6633.861583
-945.438072,4001,6719.119619
-1749.41627,4001,6803.052653
-918.444597,4001,6886.529685
-895.442875,4001,6969.965711
-897.404337,4001,7053.649737
-889.296139,4001,7137.63476
-919.496406,4001,7222.228786
-934.053755,4001,7305.948812
-958.029174,4001,7389.749919
-1749.39446,4001,7473.518873
-1604.413951,4001,7562.461902
-813.153634,4001,7651.057927
-1663.115257,4001,7740.346956
-1641.058021,4001,7829.621982
-1730.040257,4001,7918.096007
-863.006885,4001,8007.556058
-1767.112793,4001,8096.578076
-1733.435211,4001,8181.832182
-873.772118,4001,8267.6092
-853.427535,4001,8352.715214
-1671.914617,4001,8438.010232
-1684.647755,4001,8526.309294
-768.588903,4001,8615.163822
-716.933361,4001,8704.220839
-669.066716,4001,8793.170858
-707.408913,4001,8881.408728
-1527.080161,4001,8969.197748
-1561.692418,4001,9056.899764
-692.521161,4001,9143.473171
-698.747538,4001,9228.663703
-806.118604,4001,9313.728721
-736.249718,4001,9398.682738
-1539.024101,4001,9482.883614
-1560.225311,4001,9568.091628
-1608.104962,4001,9653.020649
-1589.202909,4001,9738.510566
-1569.102262,4001,9824.069587
-732.188565,4001,9909.5426
-787.205994,4001,9995.26748
