#{"t_start": 1711990683.188729, "env_id": "None"}
r,l,t
86.0,86,30.551265
66.0,66,36.117313
139.0,139,43.073372
45.0,45,47.941415
52.0,52,52.369453
64.0,64,57.739501
77.0,77,62.669544
210.0,210,70.943615
113.0,113,76.989671
116.0,116,83.034722
128.0,128,89.451777
172.0,172,97.150845
64.0,64,101.837884
174.0,174,109.255951
121.0,121,115.492003
47.0,47,120.118044
125.0,125,126.238096
51.0,51,130.831138
47.0,47,135.450177
56.0,56,140.236219
72.0,72,145.550267
125.0,125,151.765319
88.0,88,157.403368
153.0,153,164.501429
138.0,138,171.630492
86.0,86,176.617535
126.0,126,182.99659
127.0,127,189.559649
78.0,78,195.013696
127.0,127,201.38575
114.0,114,207.400802
75.0,75,212.723849
114.0,114,218.5319
117.0,117,224.581954
114.0,114,230.778005
116.0,116,237.10406
63.0,63,241.734101
117.0,117,248.102158
72.0,72,253.318202
83.0,83,258.629248
54.0,54,263.050286
53.0,53,267.889332
73.0,73,272.938373
77.0,77,278.175418
75.0,75,283.551468
47.0,47,287.937505
119.0,119,294.365559
75.0,75,299.512604
79.0,79,304.622651
147.0,147,312.014713
144.0,144,319.112774
86.0,86,324.671826
89.0,89,330.169873
122.0,122,336.502925
77.0,77,341.912972
84.0,84,347.153018
218.0,218,356.443099
232.0,232,365.899182
42.0,42,369.816217
62.0,62,374.761259
145.0,145,381.58832
46.0,46,385.740355
144.0,144,392.749415
45.0,45,397.172454
143.0,143,404.066514
142.0,142,410.667571
47.0,47,415.070609
44.0,44,419.362646
142.0,142,426.024708
145.0,145,432.917766
42.0,42,437.279804
143.0,143,443.722859
38.0,38,448.072897
142.0,142,454.723954
41.0,41,458.779992
67.0,67,463.658033
40.0,40,467.719068
41.0,41,472.089105
40.0,40,476.107141
42.0,42,480.828181
67.0,67,485.528223
69.0,69,490.323265
70.0,70,495.338308
82.0,82,500.314353
82.0,82,505.705398
74.0,74,510.710443
145.0,145,517.392502
147.0,147,524.393563
38.0,38,528.861599
165.0,165,536.045662
150.0,150,542.661719
82.0,82,547.734764
38.0,38,551.945799
36.0,36,556.01584
83.0,83,561.457886
37.0,37,565.769921
37.0,37,569.893956
97.0,97,575.681011
37.0,37,579.53804
39.0,39,583.722077
146.0,146,590.661136
94.0,94,595.863182
38.0,38,600.416224
39.0,39,604.318257
36.0,36,608.553293
37.0,37,612.545327
141.0,141,619.612389
148.0,148,626.671449
86.0,86,634.576612
37.0,37,637.666785
37.0,37,640.888961
37.0,37,643.728118
86.0,86,646.922295
38.0,38,650.967518
38.0,38,654.993741
125.0,125,661.114081
130.0,130,667.452431
122.0,122,673.355756
36.0,36,677.117966
155.0,155,683.995345
37.0,37,687.988565
36.0,36,691.848781
150.0,150,698.493149
36.0,36,702.387363
35.0,35,706.584594
36.0,36,710.363803
36.0,36,714.308022
36.0,36,718.210237
35.0,35,722.152458
35.0,35,725.885663
158.0,158,732.465027
154.0,154,738.819377
36.0,36,742.636588
150.0,150,749.114946
35.0,35,753.201172
34.0,34,756.930378
143.0,143,763.297731
35.0,35,767.017939
155.0,155,773.874316
35.0,35,777.936541
151.0,151,784.212887
147.0,147,790.645243
145.0,145,796.996594
150.0,150,803.721967
151.0,151,810.254327
151.0,151,816.627679
153.0,153,823.120039
34.0,34,827.072258
34.0,34,830.769462
35.0,35,834.72568
34.0,34,838.50289
34.0,34,842.607118
34.0,34,846.415327
155.0,155,853.022693
158.0,158,859.962079
