#{"t_start": 1707317816.0819433, "env_id": "None"}
r,l,t
-1750.627468,5000,111.446246
-565.835964,5000,220.905476
-560.809229,5000,329.249205
-560.000609,5000,437.830421
-560.128895,5000,548.68766
-558.685124,5000,656.755867
-557.665536,5000,765.585086
-559.309206,5000,874.386309
-559.967167,5000,981.635515
-1847.082631,5000,1090.135725
-1837.658747,5000,1195.365903
-1829.277748,5000,1297.719049
-1838.550432,5000,1400.529198
-1840.763,5000,1503.227351
-1834.608444,5000,1605.900497
-1837.120519,5000,1708.689654
-1855.871981,5000,1826.334593
-1861.487534,5000,1934.766808
-1859.155108,5000,2041.503003
-1843.598334,5000,2147.357708
-394.891773,5000,2253.150888
-504.545602,5000,2359.811085
-1885.52741,5000,2465.227263
-541.109366,5000,2567.437409
-559.296224,5000,2668.877545
-559.297846,5000,2771.144692
-559.278574,5000,2879.579442
-558.810717,5000,2981.737586
-558.202585,5000,3084.005733
-559.221357,5000,3174.731658
-558.692554,5000,3265.425547
-558.512986,5000,3355.11444
-554.676188,5000,3451.074383
-1887.747579,5000,3545.972314
-1871.714486,5000,3639.438224
-1884.496748,5000,3737.549191
-1888.050681,5000,3846.674259
-1895.604633,5000,3952.936193
-1892.765917,5000,4058.577226
-1893.46206,5000,4166.231281
-1890.150378,5000,4274.571344
-1877.072443,5000,4380.365381
-381.423461,5000,4492.572989
-1910.599929,5000,4598.533035
-1890.772716,5000,4704.82907
-1891.339104,5000,4810.893114
-1890.182404,5000,4916.71915
-1886.39314,5000,5023.324075
-1864.538249,5000,5130.935166
-1835.341413,5000,5233.051167
-1852.230342,5000,5335.738173
-1836.325572,5000,5435.856158
-1839.165168,5000,5545.980247
-1829.582136,5000,5650.219257
-1838.502712,5000,5757.794313
-1846.837036,5000,5864.457358
-1850.442119,5000,5971.632412
-1839.493367,5000,6076.558437
-1830.934979,5000,6183.598483
-1834.231402,5000,6290.255528
-1835.643118,5000,6396.249567
-1837.538942,5000,6502.206604
-1809.038779,5000,6604.821614
-1793.152824,5000,6706.21557
-1770.882442,5000,6809.659375
-1728.077771,5000,6911.481298
-1730.603512,5000,7014.232233
-1785.466946,5000,7116.192164
-475.453927,5000,7218.030091
-1819.576071,5000,7319.453978
-1834.632751,5000,7426.164951
-1835.224374,5000,7527.539753
-1802.519216,5000,7628.448672
-434.812143,5000,7731.037609
-419.675305,5000,7833.253535
-1777.027072,5000,7933.987455
-1828.690911,5000,8035.493379
-1841.912085,5000,8136.758827
-1831.631812,5000,8238.849757
-1835.082604,5000,8340.709682
-1839.253169,5000,8441.879605
-1838.086973,5000,8543.892531
-1841.175184,5000,8647.2195
-1837.64508,5000,8748.506315
-1832.035449,5000,8851.271258
-1836.909995,5000,8953.938188
-1830.673226,5000,9055.321079
-1816.518528,5000,9157.644948
-1820.793512,5000,9259.72688
-1821.789292,5000,9360.969802
-1819.956419,5000,9462.164718
-1826.764299,5000,9564.623655
-1829.906997,5000,9667.038584
-1845.419905,5000,9769.962519
-1830.490964,5000,9872.924439
-1851.981668,5000,9972.935386
-1790.585636,5000,10074.825279
-544.96823,5000,10177.674213
-1873.094169,5000,10278.794136
-553.793053,5000,10380.182021
-559.000671,5000,10482.1179
-558.837069,5000,10583.11868
-557.873642,5000,10685.622564
-558.06349,5000,10787.191311
-1871.423938,5000,10889.131184
-1870.275899,5000,10990.770059
-1873.467463,5000,11091.774961
-1873.736833,5000,11192.351719
-1865.405473,5000,11293.662589
-1857.256813,5000,11393.84145
-497.641139,5000,11495.662326
-424.571397,5000,11597.479199
-442.922714,5000,11699.058076
-412.944031,5000,11800.134942
-449.522367,5000,11901.870817
-450.791682,5000,12003.51769
-406.475065,5000,12104.607559
-481.351227,5000,12206.360435
-363.977901,5000,12309.342256
-397.323869,5000,12411.582126
-388.80494,5000,12513.511003
-374.377544,5000,12615.383878
-389.084085,5000,12718.312694
-394.681132,5000,12820.253576
-374.813945,5000,12921.062435
-433.9899,5000,13022.973311
-451.99215,5000,13123.864137
-410.879418,5000,13224.843005
-423.175189,5000,13326.484879
-444.397867,5000,13429.070763
-428.379614,5000,13530.351685
-436.413011,5000,13632.092565
-403.275264,5000,13733.349432
-410.609054,5000,13834.947152
-411.21345,5000,13937.188025
-404.609854,5000,14039.189883
-375.057923,5000,14140.342731
-398.973761,5000,14241.40858
-407.535261,5000,14342.933433
-420.733622,5000,14443.635278
-457.510394,5000,14544.907129
-427.24396,5000,14647.007991
-442.367232,5000,14747.919836
-383.633214,5000,14848.682684
-382.856709,5000,14952.311552
-393.796483,5000,15055.25742
-371.066813,5000,15157.045228
-396.996532,5000,15258.113079
-403.644068,5000,15361.259998
-354.060681,5000,15464.003859
-392.047899,5000,15566.608718
-361.901105,5000,15668.534574
-388.05762,5000,15770.923438
